freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
100000,2.653154,-1.676435E+02,-2.591694,2.803213e-06
100000,1.374261,-1.589097E+02,-1.282206,3.218426e-06
100000,0.8534911,-1.518980E+02,-0.7528731,3.958771e-06
100000,0.679148,-1.439667E+02,-0.5492103,3.983731e-06
100000,0.5981928,-1.504749E+02,-0.5205113,5.398882e-06
100000,0.4716859,-1.493021E+02,-0.4055891,6.609399e-06
100000,0.4974987,-1.569142E+02,-0.4576584,8.158704e-06
100000,0.5700584,-1.644905E+02,-0.5493004,1.044102e-05
100000,0.814432,-1.711812E+02,-0.8048039,1.274663e-05
100000,1.163671,+1.794153E+02,-1.163611,-0.0001340353
100000,2.348225,-1.723878E+02,-2.327531,5.11649e-06
100000,5.620166,-1.788599E+02,-5.619053,1.423273e-05
100000,44.14542,+1.657962E+02,-42.79586,-1.469301e-07
100000,2.600266,-1.661108E+02,-2.524238,2.549813e-06
100000,1.424107,-1.604843E+02,-1.342292,3.34538e-06
100000,0.9848983,-1.511838E+02,-0.8629392,3.352595e-06
100000,0.8052411,-1.536498E+02,-0.7215749,4.452988e-06
100000,0.5774874,-1.501998E+02,-0.5011228,5.545512e-06
100000,0.5477642,-1.544340E+02,-0.4941318,6.732779e-06
100000,0.5434808,-1.614626E+02,-0.5152829,9.211119e-06
100000,0.6686421,-1.698800E+02,-0.6582392,1.35465e-05
100000,1.029232,-1.499992E+02,-0.8913332,3.092615e-06
100000,1.537674,-1.630642E+02,-1.470988,3.553165e-06
100000,2.491224,+1.797751E+02,-2.491204,-0.0001627421
100000,7.385577,+1.774386E+02,-7.378198,-4.821937e-06
100000,44.3322,+1.642721E+02,-42.67239,-1.324401e-07
100000,2.658907,-1.689605E+02,-2.609705,3.12595e-06
100000,1.505702,-1.593175E+02,-1.408662,2.992777e-06
100000,1.094628,-1.590943E+02,-1.022567,4.07465e-06
100000,0.7522217,-1.532302E+02,-0.671601,4.697523e-06
100000,0.6007346,-1.562572E+02,-0.5498894,6.580043e-06
100000,0.5047855,-1.673599E+02,-0.4925515,1.440837e-05
100000,0.8606082,-1.357672E+02,-0.6166353,2.651083e-06
100000,0.8666082,-1.402439E+02,-0.6662253,2.871721e-06
100000,0.9342674,-1.766808E+02,-0.9327001,2.942252e-05
100000,1.362885,-1.745229E+02,-1.356662,1.223466e-05
100000,2.832694,+1.791162E+02,-2.832357,-3.642674e-05
100000,6.288585,+1.768414E+02,-6.279031,-4.593143e-06
100000,44.95219,+1.658051E+02,-43.57968,-1.443817e-07
100000,2.896328,-1.665389E+02,-2.816761,2.360572e-06
100000,1.744029,-1.640307E+02,-1.676725,3.316954e-06
100000,0.9982432,-1.599510E+02,-0.9377496,4.650651e-06
100000,0.7247772,-1.627254E+02,-0.6920843,7.39485e-06
100000,0.8895016,-1.363717E+02,-0.6438486,2.593214e-06
100000,0.8869681,-1.333721E+02,-0.6091114,2.468495e-06
100000,0.5469523,-1.620519E+02,-0.5203355,9.442813e-06
100000,0.7507333,-1.649040E+02,-0.7248261,8.140136e-06
100000,0.9022106,-1.663387E+02,-0.876686,7.469052e-06
100000,1.518204,-1.766400E+02,-1.515595,1.788622e-05
100000,2.3751,-1.783893E+02,-2.374162,2.384016e-05
100000,6.526533,+1.781213E+02,-6.523025,-7.438247e-06
100000,45.72345,+1.632271E+02,-43.7782,-1.206194e-07
100000,2.975035,-1.676484E+02,-2.906172,2.500892e-06
100000,1.391012,-1.651301E+02,-1.344428,4.458511e-06
100000,1.219427,-1.422705E+02,-0.9644555,2.132847e-06
100000,1.004311,-1.362110E+02,-0.725006,2.29004e-06
100000,0.5763768,-1.518056E+02,-0.5079896,5.844467e-06
100000,0.5483576,-1.452491E+02,-0.4505517,5.091836e-06
100000,0.6275203,-1.545025E+02,-0.5664023,5.891792e-06
100000,0.645021,-1.527592E+02,-0.5734822,5.390584e-06
100000,0.9136304,-1.704299E+02,-0.9009154,1.047796e-05
100000,1.134608,-1.707267E+02,-1.11978,8.704802e-06
100000,2.320659,-1.771327E+02,-2.317754,1.370998e-05
100000,6.282661,+1.772929E+02,-6.27565,-5.363617e-06
100000,48.73386,+1.594522E+02,-45.63339,-9.304557e-08
100000,2.732874,-1.627560E+02,-2.610034,1.964544e-06
100000,1.68416,-1.523163E+02,-1.491367,2.034072e-06
100000,0.9347068,-1.632256E+02,-0.8949336,5.899867e-06
100000,0.7867354,-1.508788E+02,-0.6872857,4.156869e-06
100000,0.6184816,-1.459358E+02,-0.5123569,4.594217e-06
100000,0.6306249,-1.510084E+02,-0.5516016,5.207056e-06
100000,0.5810764,-1.448094E+02,-0.4748788,4.752694e-06
100000,0.6636316,-1.617947E+02,-0.6304123,7.676277e-06
