freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
100000,143.7341,-2.609665E+00,143.5851,2.431914e-07
100000,61.86228,-4.816500E-01,61.86009,3.060486e-06
100000,32.94942,-9.760388E-01,32.94464,2.835626e-06
100000,10.48864,-4.879343E+00,10.45063,1.783968e-06
100000,8.128625,-1.689714E+02,-7.978504,1.023505e-06
100000,28.71762,-1.771105E+02,-28.68111,1.099407e-06
100000,56.37266,-1.793242E+02,-56.36874,2.393605e-06
100000,140.4148,+1.777065E+02,-140.3024,-2.832404e-07
100000,59.62152,-1.796645E+02,-59.6205,4.559263e-06
100000,30.92341,-1.792789E+02,-30.92097,4.089577e-06
100000,8.52304,-1.798001E+02,-8.522988,5.351526e-05
100000,9.949308,+3.528107E+00,9.930452,-2.599457e-06
100000,30.65194,+9.225064E-01,30.64797,-3.225033e-06
100000,58.42477,-9.691572E-02,58.42469,1.610467e-05
100000,138.9964,-3.597666E+00,138.7225,1.824752e-07
100000,73.24839,-2.472418E+00,73.1802,5.036834e-07
100000,30.41802,-2.447976E+00,30.39027,1.225002e-06
100000,10.44533,-1.044751E+01,10.27216,8.402667e-07
100000,8.879633,-1.718342E+02,-8.789604,1.261888e-06
100000,29.32504,-1.789339E+02,-29.31996,2.916962e-06
100000,60.75559,+1.798274E+02,-60.75531,-8.694879e-06
100000,135.6257,+1.767532E+02,-135.408,-2.071958e-07
100000,59.8827,-1.797140E+02,-59.88195,5.32365e-06
100000,28.36982,+1.793330E+02,-28.3679,-4.819295e-06
100000,8.328243,+1.736879E+02,-8.277755,-1.738179e-06
100000,10.75679,+1.630512E+00,10.75243,-5.199897e-06
100000,31.3427,-6.393010E-01,31.34074,4.551034e-06
100000,62.88322,-9.394444E-01,62.87476,1.543677e-06
100000,138.4222,-6.367366E+00,137.5683,1.036744e-07
100000,57.33638,-1.696005E+00,57.31126,9.37883e-07
100000,30.40001,-3.129517E+00,30.35467,9.58976e-07
100000,9.814712,-5.146308E+00,9.775148,1.807813e-06
100000,8.930912,-1.773068E+02,-8.921047,3.792589e-06
100000,31.26738,-1.799846E+02,-31.26738,0.0001892646
100000,59.16698,+1.792085E+02,-59.16134,-1.94729e-06
100000,135.8125,+1.742708E+02,-135.1341,-1.173898e-07
100000,55.13346,+1.791994E+02,-55.12808,-2.065881e-06
100000,28.29918,+1.785262E+02,-28.28982,-2.186646e-06
100000,7.787284,-1.794528E+02,-7.786929,2.139892e-05
100000,10.90591,-2.288160E+00,10.89722,3.655189e-06
100000,33.26281,-1.439588E+00,33.25231,1.904545e-06
100000,61.30989,-1.597380E+00,61.28607,9.312372e-07
100000,133.7573,-3.573869E+00,133.4972,1.908834e-07
100000,61.11418,-1.092433E+00,61.10308,1.365942e-06
100000,32.00025,-1.017778E+00,31.9952,2.800009e-06
100000,11.29495,-1.285853E+00,11.2921,6.27919e-06
100000,8.955561,+1.793123E+02,-8.954916,-1.48077e-05
100000,28.64777,+1.786398E+02,-28.6397,-2.340338e-06
100000,57.33971,+1.786942E+02,-57.32482,-1.218015e-06
100000,131.5832,+1.770780E+02,-131.4121,-2.372728e-07
100000,58.7909,+1.798450E+02,-58.79069,-1.000461e-05
100000,29.92493,-1.791048E+02,-29.92128,3.404182e-06
100000,9.335248,-1.759384E+02,-9.311802,2.407061e-06
100000,10.94142,-5.509584E+00,10.89087,1.515025e-06
100000,30.66264,-3.034441E+00,30.61965,9.805225e-07
100000,59.39297,-2.147034E+00,59.35127,7.152706e-07
100000,139.8121,-2.079513E+00,139.72,3.137124e-07
100000,61.45533,+1.118133E-01,61.45521,-1.327058e-05
100000,32.51157,+2.667850E-01,32.51122,-1.051345e-05
100000,10.38647,+2.544449E+00,10.37623,-3.451626e-06
100000,7.711405,+1.711452E+02,-7.619496,-1.340783e-06
100000,28.37574,+1.771597E+02,-28.34088,-1.131908e-06
100000,56.54563,+1.783739E+02,-56.52286,-9.918977e-07
100000,136.5672,+1.783157E+02,-136.5082,-3.964914e-07
100000,59.1801,-1.788368E+02,-59.16791,1.324724e-06
100000,30.45032,-1.777533E+02,-30.42692,1.33324e-06
100000,8.472034,-1.698587E+02,-8.33967,1.066916e-06
100000,9.827376,-1.287946E+01,9.58013,7.265595e-07
100000,30.4299,-4.613137E+00,30.33132,6.503022e-07
100000,58.62872,-2.615875E+00,58.56763,5.947934e-07
100000,143.8197,-3.442613E+00,143.5602,1.842882e-07
