freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
100000,33.60545,-5.821093E-01,33.60372,4.66161e-06
100000,51.50629,-5.375044E-01,51.50402,3.293873e-06
100000,64.85075,-5.882282E-01,64.84733,2.390504e-06
100000,71.85364,+3.113725E-01,71.85258,-4.075828e-06
100000,76.78433,-1.608358E-01,76.78403,7.383937e-06
100000,77.19374,-1.141218E-02,77.19374,0.0001035123
100000,80.52094,-2.930916E-01,80.51988,3.863959e-06
100000,78.92939,-7.618704E-01,78.92241,1.516477e-06
100000,77.67345,-4.736243E-01,77.6708,2.478798e-06
100000,68.57,-8.627765E-01,68.56222,1.54144e-06
100000,63.52778,-1.331910E+00,63.51062,1.077813e-06
100000,52.03814,-1.483687E+00,52.02069,1.181211e-06
100000,34.76777,-2.070993E+00,34.74506,1.266724e-06
100000,32.83203,-1.255926E+00,32.82415,2.211646e-06
100000,52.23602,-1.025112E+00,52.22766,1.703039e-06
100000,62.60247,+6.073245E-02,62.60244,-2.398449e-05
100000,70.12693,-4.823687E-01,70.12445,2.695777e-06
100000,72.60803,-3.289520E-01,72.60683,3.817931e-06
100000,77.74084,-6.504639E-01,77.73583,1.803349e-06
100000,77.92463,-1.155426E+00,77.90878,1.012874e-06
100000,78.40917,-9.278361E-01,78.39889,1.253498e-06
100000,72.17448,-1.518166E+00,72.14915,8.323206e-07
100000,68.99818,-1.712041E+00,68.96738,7.720681e-07
100000,61.01085,-1.667948E+00,60.985,8.962195e-07
100000,49.72071,-1.831323E+00,49.69531,1.001646e-06
100000,30.14198,-1.899031E+00,30.12543,1.593377e-06
100000,34.27556,-1.340957E+00,34.26617,1.984188e-06
100000,50.81415,+9.940660E-02,50.81407,-1.805274e-05
100000,61.94109,-6.060505E-01,61.93762,2.4292e-06
100000,67.21721,-4.087143E-01,67.2155,3.319297e-06
100000,74.54809,-7.685752E-01,74.54138,1.591596e-06
100000,76.5603,-1.316012E+00,76.5401,9.051439e-07
100000,78.83535,-1.202834E+00,78.81797,9.617183e-07
100000,73.71293,-1.546316E+00,73.68609,8.001172e-07
100000,73.62372,-1.554036E+00,73.59664,7.971082e-07
100000,68.36025,-1.299573E+00,68.34267,1.02654e-06
100000,60.84992,-1.065301E+00,60.83941,1.40681e-06
100000,47.88695,-8.451931E-01,47.88174,2.253125e-06
100000,33.66533,-1.049290E+00,33.65968,2.581597e-06
100000,32.19077,-3.397314E-01,32.1902,8.338314e-06
100000,49.82662,-1.206378E+00,49.81558,1.517155e-06
100000,58.97215,-8.388499E-01,58.96583,1.843432e-06
100000,69.21816,-1.218811E+00,69.2025,1.080983e-06
100000,73.3388,-1.890571E+00,73.29888,6.578015e-07
100000,77.51884,-1.511872E+00,77.49185,7.781636e-07
100000,74.3199,-1.712737E+00,74.28669,7.164927e-07
100000,76.29622,-1.555229E+00,76.26812,7.685969e-07
100000,73.21985,-1.074145E+00,73.20698,1.159516e-06
100000,68.42645,-9.073349E-01,68.41787,1.468823e-06
100000,59.42067,-7.322813E-01,59.41581,2.095748e-06
100000,51.57219,-7.522683E-01,51.56774,2.350536e-06
100000,32.95574,-1.846988E+00,32.93862,1.498383e-06
100000,33.72669,-3.008485E+00,33.68021,8.991264e-07
100000,49.59196,-1.830309E+00,49.56666,1.004803e-06
100000,63.59339,-2.067193E+00,63.55201,6.938154e-07
100000,70.54171,-2.401424E+00,70.47976,5.38462e-07
100000,76.75794,-1.786295E+00,76.72064,6.651762e-07
100000,75.50552,-1.813608E+00,75.4677,6.66029e-07
100000,79.4292,-1.418582E+00,79.40486,8.093798e-07
100000,78.18234,-1.053990E+00,78.16912,1.10668e-06
100000,75.54822,-9.565979E-01,75.53769,1.261854e-06
100000,69.24372,-8.042465E-01,69.2369,1.637523e-06
100000,65.15471,-7.842835E-01,65.14861,1.784586e-06
100000,52.44768,-1.451119E+00,52.43086,1.198284e-06
100000,34.44309,-2.019673E+00,34.42169,1.311142e-06
100000,31.77007,-1.084208E+00,31.76439,2.647511e-06
100000,52.17338,-1.226074E+00,52.16143,1.425642e-06
100000,62.65816,-1.461962E+00,62.63776,9.9558e-07
100000,71.49492,-7.116757E-01,71.4894,1.792242e-06
100000,72.49869,-5.428445E-01,72.49544,2.317094e-06
100000,78.23212,-3.493817E-01,78.23066,3.336263e-06
100000,78.73475,-2.761883E-02,78.73474,4.193446e-05
100000,77.9094,+3.560186E-02,77.90938,-3.28761e-05
100000,73.7853,+2.157046E-01,73.78478,-5.729472e-06
100000,72.23946,+2.235421E-01,72.23891,-5.646899e-06
