freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
100000,2.458197,-1.647078E+02,-2.371161,2.454848e-06
100000,1.28741,-1.544746E+02,-1.161751,2.868896e-06
100000,0.8149282,-1.449531E+02,-0.667167,3.400963e-06
100000,0.6676161,-1.367445E+02,-0.4862283,3.478905e-06
100000,0.586287,-1.446388E+02,-0.4781288,4.690668e-06
100000,0.4800328,-1.485383E+02,-0.4094627,6.352402e-06
100000,0.5673865,-1.661212E+02,-0.5508219,1.169413e-05
100000,0.7618017,+1.746545E+02,-0.7584887,-2.242565e-05
100000,1.294653,+1.597287E+02,-1.214465,-3.548186e-06
100000,1.403077,+1.634845E+02,-1.34519,-3.990259e-06
100000,2.124825,-1.697379E+02,-2.090835,4.204436e-06
100000,5.128339,-1.759478E+02,-5.115518,4.391697e-06
100000,43.77935,+1.660405E+02,-42.48639,-1.506985e-07
100000,2.40923,-1.635449E+02,-2.310553,2.332122e-06
100000,1.325121,-1.555798E+02,-1.206573,2.905148e-06
100000,0.9449543,-1.457156E+02,-0.7807701,2.989983e-06
100000,0.7658656,-1.471632E+02,-0.6434946,3.832391e-06
100000,0.5722642,-1.458353E+02,-0.4735067,4.952412e-06
100000,0.5917187,-1.586182E+02,-0.5509917,7.377528e-06
100000,0.7016929,-1.786515E+02,-0.7014986,9.637973e-05
100000,1.11262,+1.601792E+02,-1.046706,-4.218634e-06
100000,1.119409,-1.733552E+02,-1.111889,1.228702e-05
100000,1.410652,-1.629676E+02,-1.348779,3.851793e-06
100000,2.197666,-1.764028E+02,-2.193337,1.154251e-05
100000,6.841135,+1.790103E+02,-6.840115,-1.346914e-05
100000,43.85873,+1.644656E+02,-42.25657,-1.35496e-07
100000,2.449999,-1.663769E+02,-2.381071,2.758041e-06
100000,1.396648,-1.550843E+02,-1.266659,2.704937e-06
100000,1.021227,-1.530824E+02,-0.9105856,3.442547e-06
100000,0.6812377,-1.481806E+02,-0.5788574,4.431085e-06
100000,0.6215355,-1.558151E+02,-0.5669821,6.250379e-06
100000,0.6378845,-1.791484E+02,-0.6378141,0.0001678645
100000,0.9916711,-1.695621E+02,-0.9752606,8.858595e-06
100000,0.9046684,-1.686358E+02,-0.886932,8.928247e-06
100000,0.8814416,+1.778561E+02,-0.8808246,-4.82666e-05
100000,1.176018,-1.696371E+02,-1.156835,7.523481e-06
100000,2.517805,-1.773071E+02,-2.515025,1.34541e-05
100000,5.829343,+1.781539E+02,-5.826318,-8.475252e-06
100000,44.60789,+1.661187E+02,-43.3051,-1.487157e-07
100000,2.670358,-1.642559E+02,-2.570175,2.196517e-06
100000,1.604021,-1.596403E+02,-1.503813,2.851932e-06
100000,0.933548,-1.534622E+02,-0.8351888,3.815761e-06
100000,0.7238978,-1.588828E+02,-0.6752848,6.102482e-06
100000,0.9244763,-1.446056E+02,-0.7536184,2.972312e-06
100000,1.001678,-1.637563E+02,-0.9616915,5.680181e-06
100000,0.7806781,+1.652929E+02,-0.7551001,-8.030142e-06
100000,0.7217874,-1.742572E+02,-0.7181648,2.203607e-05
100000,0.7785802,-1.606786E+02,-0.7347284,6.17821e-06
100000,1.326865,-1.717875E+02,-1.313258,8.39707e-06
100000,2.1782,-1.761450E+02,-2.173271,1.086785e-05
100000,6.056996,+1.792789E+02,-6.056516,-2.088e-05
100000,45.30941,+1.633897E+02,-43.4187,-1.228787e-07
100000,2.716265,-1.648474E+02,-2.621829,2.241601e-06
100000,1.263706,-1.588417E+02,-1.178516,3.489243e-06
100000,1.212789,-1.382461E+02,-0.9047549,1.970627e-06
100000,1.023414,-1.423118E+02,-0.8098781,2.543714e-06
100000,0.8463455,+1.771847E+02,-0.845324,-3.828656e-05
100000,0.6888645,+1.770323E+02,-0.6879407,-4.462559e-05
100000,0.5927612,-1.665099E+02,-0.576407,1.150979e-05
100000,0.5652978,-1.463072E+02,-0.4703411,5.0752e-06
100000,0.7647905,-1.620426E+02,-0.7275345,6.749791e-06
100000,1.028169,-1.659095E+02,-0.9972338,6.358259e-06
100000,2.090316,-1.741629E+02,-2.079478,7.486556e-06
100000,5.794271,+1.784816E+02,-5.792236,-1.036601e-05
100000,48.18493,+1.593359E+02,-45.08496,-9.359883e-08
100000,2.526871,-1.584200E+02,-2.34975,1.71248e-06
100000,1.633939,-1.472134E+02,-1.373642,1.798775e-06
100000,0.9762317,-1.657294E+02,-0.9461074,6.613732e-06
100000,1.025865,-1.776793E+02,-1.025024,3.83141e-05
100000,0.775509,+1.772783E+02,-0.7746342,-4.321951e-05
100000,0.6149431,-1.681468E+02,-0.6018306,1.260007e-05
100000,0.521127,-1.405593E+02,-0.4024571,4.807415e-06
100000,0.583575,-1.537365E+02,-0.5233315,6.163248e-06
100000,0.6607185,-1.567890E+02,-0.6072398,6.111913e-06
100000,1.140133,-1.680741E+02,-1.115524,6.755165e-06
100000,2.277267,-1.777310E+02,-2.275482,1.76529e-05
100000,6.694317,+1.762088E+02,-6.679668,-3.595657e-06
100000,49.94933,+1.550829E+02,-45.29997,-7.562969e-08
100000,2.338256,-1.657367E+02,-2.266176,2.76264e-06
100000,1.39834,-1.631097E+02,-1.338019,3.917429e-06
100000,1.311492,-1.766437E+02,-1.309242,2.072831e-05
100000,0.9709189,+1.760302E+02,-0.9685894,-2.367788e-05
100000,0.7164531,-1.719437E+02,-0.7093823,1.585071e-05
100000,0.5255538,-1.458504E+02,-0.4349349,5.394666e-06
100000,0.5278117,-1.496346E+02,-0.455406,5.964976e-06
100000,0.5103459,-1.466815E+02,-0.4264604,5.677432e-06
100000,0.7474503,-1.577088E+02,-0.6915916,5.613555e-06
100000,1.219407,-1.692917E+02,-1.198172,7.024303e-06
100000,2.48815,-1.754163E+02,-2.480192,8.00406e-06
100000,6.24874,-1.790212E+02,-6.247828,1.491066e-05
100000,44.10993,+1.595238E+02,-41.32296,-1.031434e-07
100000,2.621237,-1.668205E+02,-2.552195,2.663022e-06
100000,2.067875,-1.777106E+02,-2.066224,1.926696e-05
100000,1.468644,+1.722882E+02,-1.455361,-8.075738e-06
100000,1.024263,-1.795428E+02,-1.02423,0.000194722
100000,0.6362814,-1.575831E+02,-0.5881999,6.559266e-06
100000,0.5629899,-1.567939E+02,-0.5174401,7.174285e-06
100000,0.4809096,-1.496531E+02,-0.4150164,6.550342e-06
100000,0.6049082,-1.548061E+02,-0.547365,6.180806e-06
100000,0.8644416,-1.648978E+02,-0.8345859,7.066527e-06
100000,1.441208,-1.711315E+02,-1.423978,7.163093e-06
100000,2.486199,-1.753687E+02,-2.478081,7.928228e-06
100000,6.406071,+1.763420E+02,-6.393019,-3.89401e-06
100000,44.73114,+1.668510E+02,-43.55838,-1.564083e-07
100000,3.17235,-1.764457E+02,-3.166248,8.092603e-06
100000,2.00277,+1.723382E+02,-1.98489,-5.960395e-06
100000,1.324807,+1.761091E+02,-1.321754,-1.770394e-05
100000,0.7534444,-1.655745E+02,-0.7296902,8.479298e-06
100000,0.5901245,-1.625291E+02,-0.5629017,8.983261e-06
100000,0.4129577,-1.464518E+02,-0.3441676,6.973861e-06
100000,0.466522,-1.484561E+02,-0.3975886,6.521096e-06
100000,0.5618669,-1.574779E+02,-0.5190143,7.395078e-06
100000,0.8109673,-1.646202E+02,-0.7819255,7.399722e-06
100000,1.109551,-1.727158E+02,-1.100596,1.131318e-05
