freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
50000,146.6674,-5.657109E+00,145.9531,2.201661e-07
50000,61.98601,-1.246659E+00,61.97133,2.360291e-06
50000,33.44314,-1.661176E+00,33.42908,3.283303e-06
50000,10.67621,-4.089472E+00,10.64903,4.180779e-06
50000,8.473252,-1.752724E+02,-8.444424,4.558013e-06
50000,28.95824,-1.790205E+02,-28.95401,6.430417e-06
50000,56.07251,+1.799259E+02,-56.07246,-4.386709e-05
50000,141.9666,+1.743628E+02,-141.28,-2.282565e-07
50000,59.56528,+1.795997E+02,-59.56382,-7.647992e-06
50000,31.23936,-1.797946E+02,-31.23916,2.841758e-05
50000,8.46935,-1.781374E+02,-8.464875,1.156299e-05
50000,10.64183,-1.807186E+00,10.63654,9.484742e-06
50000,31.11432,-9.821678E-01,31.10975,5.968263e-06
50000,58.33162,-9.496407E-01,58.32361,3.292526e-06
50000,143.2424,-6.958415E+00,142.1874,1.834251e-07
50000,62.3333,-1.185650E+00,62.31995,2.467897e-06
50000,30.41838,-2.003797E+00,30.39978,2.992757e-06
50000,9.566391,-5.546711E+00,9.521599,3.44245e-06
50000,9.417442,-1.774801E+02,-9.408335,7.687605e-06
50000,29.50916,-1.798446E+02,-29.50905,3.978232e-05
50000,60.42915,+1.797313E+02,-60.42848,-1.123256e-05
50000,139.7305,+1.734128E+02,-138.808,-1.9858e-07
50000,59.88661,+1.799346E+02,-59.88658,-4.654334e-05
50000,28.14601,-1.799121E+02,-28.14598,7.371503e-05
50000,7.304886,-1.784669E+02,-7.302271,1.628718e-05
50000,11.59924,-3.338989E+00,11.57955,4.711663e-06
50000,31.72034,-1.639112E+00,31.70736,3.508209e-06
50000,62.72615,-1.123700E+00,62.71409,2.587627e-06
50000,145.9827,-1.117907E+01,143.2129,1.124669e-07
50000,57.62745,-1.753494E+00,57.60046,1.805124e-06
50000,29.44822,-1.776199E+00,29.43407,3.487319e-06
50000,8.796698,-1.681328E+00,8.79291,1.233283e-05
50000,9.528281,+1.799986E+02,-9.528281,-0.0132737
50000,31.40723,+1.798674E+02,-31.40714,-4.379199e-05
50000,59.16067,+1.790982E+02,-59.15334,-3.418536e-06
50000,142.3749,+1.692274E+02,-139.8658,-1.196142e-07
50000,55.18356,+1.792967E+02,-55.1794,-4.699186e-06
50000,27.12318,-1.796657E+02,-27.12272,2.011496e-05
50000,6.665909,-1.729060E+02,-6.614881,3.866636e-06
50000,11.73127,-4.467330E+00,11.69563,3.483533e-06
50000,33.61122,-1.693192E+00,33.59654,3.205128e-06
50000,61.43405,-1.720235E+00,61.40636,1.726001e-06
50000,139.9709,-6.284346E+00,139.1298,2.077525e-07
50000,60.40537,-1.238909E+00,60.39125,2.437202e-06
50000,30.75672,-4.307892E-01,30.75586,1.376487e-05
50000,10.34213,+7.396627E-02,10.34213,-0.0002384125
50000,9.592043,+1.793828E+02,-9.591487,-3.080681e-05
50000,29.17069,+1.787979E+02,-29.16427,-5.201476e-06
50000,57.73136,+1.788919E+02,-57.72057,-2.851057e-06
50000,135.5273,+1.739154E+02,-134.7638,-2.215786e-07
50000,57.88152,+1.798924E+02,-57.88142,-2.927306e-05
50000,28.49306,-1.780519E+02,-28.47659,3.286266e-06
50000,8.201592,-1.725289E+02,-8.131965,2.98484e-06
50000,11.82806,-5.615659E+00,11.77129,2.750135e-06
50000,31.39077,-3.062250E+00,31.34595,1.898178e-06
50000,59.97609,-2.038192E+00,59.93815,1.492248e-06
50000,144.7784,-4.796974E+00,144.2712,2.629113e-07
50000,61.42179,-8.165397E-01,61.41555,3.636535e-06
50000,32.33192,-7.175050E-01,32.32939,7.861903e-06
50000,10.24704,-1.249641E+00,10.2446,1.424372e-05
50000,7.762004,+1.773083E+02,-7.75344,-8.732249e-06
50000,28.59029,+1.788044E+02,-28.58406,-5.335727e-06
50000,58.17175,+1.782893E+02,-58.14583,-1.832945e-06
50000,141.1077,+1.756841E+02,-140.7075,-2.997529e-07
50000,58.83731,-1.794587E+02,-58.83469,5.726511e-06
50000,29.88528,-1.782985E+02,-29.8721,3.587178e-06
50000,7.978193,-1.724999E+02,-7.909936,3.056613e-06
50000,10.17196,-9.343398E+00,10.03701,1.927479e-06
50000,30.93651,-3.467650E+00,30.87987,1.701106e-06
50000,60.58581,-2.991075E+00,60.50327,1.006866e-06
50000,150.2055,-7.290550E+00,148.9911,1.669934e-07
50000,62.19034,-7.230110E-01,62.18539,4.056173e-06
50000,31.59519,-9.835799E-01,31.59054,5.868991e-06
50000,12.11645,-5.466722E-01,12.11589,2.753449e-05
50000,6.803247,-1.761482E+02,-6.787879,6.965032e-06
50000,27.72576,-1.793204E+02,-27.72381,9.679799e-06
50000,62.4274,+1.781218E+02,-62.39386,-1.55572e-06
50000,146.3204,+1.732493E+02,-145.3059,-1.850646e-07
50000,59.50906,-1.794846E+02,-59.50665,5.946511e-06
50000,29.23025,-1.783719E+02,-29.21845,3.83283e-06
50000,9.873268,-1.726647E+02,-9.792464,2.525103e-06
50000,9.096661,-5.926447E+00,9.048042,3.388996e-06
50000,29.97399,-2.249507E+00,29.95089,2.705531e-06
50000,64.84535,-3.035814E+00,64.75435,9.268766e-07
50000,146.9947,-5.475689E+00,146.324,2.269308e-07
50000,59.34718,-6.505451E-01,59.34336,4.723942e-06
50000,32.52876,-7.458567E-01,32.526,7.517305e-06
50000,11.97713,-4.411903E+00,11.94164,3.454803e-06
50000,6.794153,-1.712681E+02,-6.715405,3.086093e-06
50000,30.81142,-1.799209E+02,-30.81139,7.478758e-05
50000,60.34914,+1.796341E+02,-60.34791,-8.258154e-06
50000,143.7386,+1.751272E+02,-143.2191,-2.607013e-07
50000,56.90001,-1.795346E+02,-56.89814,6.887085e-06
50000,30.33213,-1.785786E+02,-30.32279,4.230625e-06
50000,9.806634,-1.786364E+02,-9.803857,1.36399e-05
50000,8.801236,-1.954251E+00,8.796117,1.060555e-05
50000,32.94634,-2.042866E+00,32.9254,2.710302e-06
50000,62.58094,-1.409569E+00,62.562,2.067703e-06
50000,143.3052,-5.737321E+00,142.5874,2.221916e-07
50000,62.50299,-3.752281E-01,62.50165,7.776421e-06
50000,32.88705,-1.478964E+00,32.8761,3.750061e-06
50000,12.4505,-4.714619E+00,12.40837,3.110496e-06
50000,9.210116,-1.777923E+02,-9.20328,8.97183e-06
50000,30.55629,+1.799706E+02,-30.55629,-0.0002030118
50000,59.04201,+1.794330E+02,-59.03912,-5.447536e-06
50000,139.6908,+1.745962E+02,-139.07,-2.419622e-07
50000,59.98192,-1.794823E+02,-59.97947,5.872788e-06
50000,30.59506,-1.798325E+02,-30.59493,3.558016e-05
50000,10.24355,-1.795717E+02,-10.24327,4.156555e-05
50000,11.38459,-3.325044E+00,11.36542,4.820609e-06
50000,32.73909,-1.789052E+00,32.72313,3.114252e-06
50000,61.35174,-1.489990E+00,61.331,1.995315e-06
50000,147.6755,-6.919678E+00,146.5998,1.7891e-07
50000,61.67995,-1.289972E+00,61.66432,2.292373e-06
50000,33.05372,-2.337888E+00,33.02621,2.360745e-06
50000,9.957413,-5.066096E+00,9.918515,3.620085e-06
50000,9.719258,-1.771579E+02,-9.707303,6.605162e-06
50000,29.90964,-1.794805E+02,-29.90841,1.173759e-05
50000,57.00701,+1.797876E+02,-57.00662,-1.506288e-05
50000,143.9754,+1.734158E+02,-143.0258,-1.928131e-07
50000,59.19941,+1.795934E+02,-59.19792,-7.577459e-06
50000,30.78296,+1.795760E+02,-30.78212,-1.397174e-05
50000,7.71121,-1.785309E+02,-7.708675,1.61007e-05
50000,11.90999,-2.633887E+00,11.89741,5.815904e-06
50000,32.09912,-1.331778E+00,32.09045,4.266649e-06
50000,59.27303,-1.018150E+00,59.26367,3.022224e-06
50000,146.1369,-6.297980E+00,145.2549,1.985576e-07
50000,62.12866,-1.684976E+00,62.1018,1.742408e-06
50000,30.68346,-2.643665E+00,30.65081,2.249138e-06
50000,8.968119,-5.037018E+00,8.933486,4.042569e-06
50000,9.695328,-1.787525E+02,-9.69303,1.508049e-05
50000,29.49402,+1.798280E+02,-29.49389,-3.594551e-05
50000,60.11591,+1.795983E+02,-60.11443,-7.551912e-06
50000,142.497,+1.740228E+02,-141.7223,-2.145153e-07
50000,59.6832,+1.793126E+02,-59.67891,-4.445751e-06
50000,28.36918,+1.793274E+02,-28.36723,-9.557853e-06
50000,6.712501,-1.776064E+02,-6.706644,1.135425e-05
50000,11.82848,-4.052255E+00,11.79891,3.808107e-06
50000,31.67739,-1.751599E+00,31.66259,3.287429e-06
50000,62.40546,-1.154828E+00,62.39278,2.530826e-06
50000,149.5044,-8.069941E+00,148.0239,1.51665e-07
50000,61.06372,-2.404767E+00,61.00994,1.24235e-06
50000,30.27994,-1.671436E+00,30.26706,3.604039e-06
50000,9.320874,+4.356979E-01,9.320605,-4.490915e-05
50000,9.034168,+1.780030E+02,-9.028681,-1.011095e-05
50000,30.90542,+1.791381E+02,-30.90192,-6.846956e-06
50000,58.73453,+1.785714E+02,-58.71627,-2.173726e-06
50000,146.1687,+1.720538E+02,-144.7652,-1.575264e-07
50000,58.52815,+1.786470E+02,-58.51183,-2.303255e-06
50000,28.03032,-1.795057E+02,-28.02928,1.316296e-05
50000,7.303919,-1.709906E+02,-7.213809,2.783007e-06
50000,11.15115,-6.473095E+00,11.08006,2.53201e-06
50000,33.02686,-2.400298E+00,32.99788,2.301269e-06
50000,60.9756,-2.263188E+00,60.92803,1.321932e-06
50000,156.2852,-1.121831E+01,153.2991,1.046902e-07
50000,63.46092,-2.658409E+00,63.39262,1.081435e-06
50000,31.8458,-1.487940E+00,31.83506,3.849319e-06
50000,10.94425,-2.081480E+00,10.93703,8.007743e-06
50000,9.450399,-1.787266E+02,-9.448065,1.515656e-05
50000,29.5467,+1.794343E+02,-29.54526,-1.091059e-05
50000,59.22774,+1.790816E+02,-59.22013,-3.353174e-06
50000,152.9233,+1.691494E+02,-150.1893,-1.105717e-07
50000,60.95154,+1.785969E+02,-60.93326,-2.132758e-06
50000,29.697,-1.790392E+02,-29.69283,6.392181e-06
50000,8.878159,-1.751814E+02,-8.84678,4.26812e-06
50000,11.49427,-4.588925E+00,11.45742,3.461345e-06
50000,31.65838,-2.655390E+00,31.62438,2.170257e-06
50000,61.37931,-1.948852E+00,61.34381,1.524951e-06
50000,159.9938,-1.244926E+01,156.2319,9.228872e-08
50000,62.82467,-8.603060E-01,62.81759,3.374473e-06
50000,33.35128,-9.751209E-01,33.34645,5.608191e-06
50000,11.21505,-2.379436E+00,11.20538,6.836321e-06
50000,6.693055,+1.799082E+02,-6.693047,-0.0002969025
50000,27.05306,+1.798214E+02,-27.05293,-3.774654e-05
50000,54.44742,+1.792046E+02,-54.44218,-4.211549e-06
50000,155.9896,+1.679321E+02,-152.5423,-9.760277e-08
