freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
50000,32.38112,-9.726530E-01,32.37646,5.79087e-06
50000,49.90304,-1.099826E+00,49.89385,3.323138e-06
50000,63.32165,-1.369203E+00,63.30357,2.103749e-06
50000,70.58797,-9.140959E-01,70.57899,2.826629e-06
50000,78.13455,-2.365562E+00,78.06797,9.870033e-07
50000,81.77371,-3.581286E+00,81.61402,6.231649e-07
50000,86.0579,-4.026357E+00,85.8455,5.267775e-07
50000,82.13696,-3.687406E+00,81.96691,6.025776e-07
50000,77.637,-2.019426E+00,77.58879,1.163499e-06
50000,67.21297,-1.549129E+00,67.18841,1.751802e-06
50000,61.69504,-1.534383E+00,61.67292,1.926818e-06
50000,50.16966,-1.255808E+00,50.15761,2.894964e-06
50000,33.45535,-1.572342E+00,33.44275,3.467486e-06
50000,31.92367,-1.983694E+00,31.90454,2.880527e-06
50000,50.92511,-1.801084E+00,50.89995,1.988741e-06
50000,61.40951,-1.145598E+00,61.39723,2.592589e-06
50000,71.25109,-2.633353E+00,71.17585,9.723554e-07
50000,77.13226,-3.926273E+00,76.95123,6.02693e-07
50000,83.79108,-4.527983E+00,83.52956,4.811964e-07
50000,81.87889,-4.293097E+00,81.64915,5.193218e-07
50000,79.10158,-2.631768E+00,79.01815,8.763804e-07
50000,70.50518,-2.243984E+00,70.45112,1.153036e-06
50000,67.41726,-2.058453E+00,67.37375,1.31448e-06
50000,59.21976,-1.693700E+00,59.19389,1.818582e-06
50000,48.13629,-1.814910E+00,48.11214,2.087938e-06
50000,29.20235,-2.448668E+00,29.17568,2.551275e-06
50000,33.32836,-1.960509E+00,33.30886,2.791738e-06
50000,49.47158,-8.205108E-01,49.46651,4.493115e-06
50000,62.65513,-2.483926E+00,62.59626,1.172232e-06
50000,71.30905,-3.871157E+00,71.14635,6.611771e-07
50000,80.73741,-4.691259E+00,80.46693,4.82052e-07
50000,81.1437,-4.585013E+00,80.88403,4.907282e-07
50000,80.11131,-2.980354E+00,80.00295,7.641998e-07
50000,73.32118,-2.392325E+00,73.25727,1.040038e-06
50000,72.28507,-2.002854E+00,72.24091,1.259979e-06
50000,66.4952,-1.518630E+00,66.47185,1.806264e-06
50000,59.00119,-1.310794E+00,58.98575,2.358389e-06
50000,46.28172,-1.393436E+00,46.26804,2.828258e-06
50000,32.33835,-1.192083E+00,32.33135,4.731291e-06
50000,31.32092,-1.091123E+00,31.31524,5.33692e-06
50000,50.47582,-2.963956E+00,50.40829,1.219583e-06
50000,62.99596,-4.352814E+00,62.81426,6.657448e-07
50000,75.91553,-5.348801E+00,75.58497,4.497971e-07
50000,79.03729,-5.425214E+00,78.68324,4.259641e-07
50000,79.90039,-3.633350E+00,79.73979,6.286483e-07
50000,74.89117,-2.963538E+00,74.79101,8.221013e-07
50000,75.71022,-2.424350E+00,75.64245,9.939225e-07
50000,71.94069,-1.779236E+00,71.90601,1.425064e-06
50000,66.88545,-1.612139E+00,66.85898,1.691594e-06
50000,57.83186,-1.579476E+00,57.80989,1.99686e-06
50000,49.9663,-1.297410E+00,49.95349,2.813555e-06
50000,32.00033,-2.420891E+00,31.97177,2.354899e-06
50000,34.42471,-4.490775E+00,34.31902,1.180935e-06
50000,53.19619,-5.222383E+00,52.97537,6.573929e-07
50000,70.8066,-6.329274E+00,70.37502,4.077827e-07
50000,77.44134,-6.343752E+00,76.96716,3.719987e-07
50000,80.5022,-4.396864E+00,80.26528,5.157608e-07
50000,77.29095,-3.599286E+00,77.13849,6.560145e-07
50000,79.85051,-2.862361E+00,79.75089,7.982728e-07
50000,77.7125,-2.214575E+00,77.65446,1.059985e-06
50000,74.57733,-2.039829E+00,74.53007,1.199123e-06
50000,68.02,-1.940486E+00,67.98099,1.382002e-06
50000,63.52761,-1.582191E+00,63.50339,1.814708e-06
50000,51.17957,-2.179841E+00,51.14253,1.635144e-06
50000,33.48071,-2.459432E+00,33.44987,2.215525e-06
50000,33.75046,-4.724981E+00,33.63576,1.144947e-06
50000,58.73675,-6.354202E+00,58.37592,4.896575e-07
50000,70.21918,-6.539628E+00,69.76229,3.980222e-07
50000,76.29207,-4.374826E+00,76.06979,5.469588e-07
50000,75.26809,-3.405741E+00,75.13516,7.118787e-07
50000,79.62558,-2.634089E+00,79.54144,8.698467e-07
50000,79.05532,-1.935708E+00,79.01021,1.192023e-06
50000,77.57738,-1.685473E+00,77.54382,1.395014e-06
50000,72.97321,-1.496126E+00,72.94833,1.670669e-06
50000,70.8148,-1.041173E+00,70.80311,2.473716e-06
50000,61.69978,-1.370862E+00,61.68212,2.156437e-06
50000,49.73849,-1.131343E+00,49.7288,3.241262e-06
50000,31.41564,-1.498962E+00,31.40489,3.873342e-06
50000,41.17548,-7.931607E+00,40.78158,5.602229e-07
50000,60.92631,-8.273541E+00,60.29221,3.63067e-07
50000,71.51418,-5.851804E+00,71.14151,4.365622e-07
50000,73.45537,-4.922102E+00,73.18449,5.050482e-07
50000,79.91924,-4.048299E+00,79.71983,5.641704e-07
50000,81.06594,-3.366703E+00,80.92603,6.686201e-07
50000,81.3198,-3.070793E+00,81.20303,7.306912e-07
50000,78.419,-2.897652E+00,78.31874,8.029536e-07
50000,78.22082,-2.440210E+00,78.14988,9.557725e-07
50000,71.34805,-2.787508E+00,71.26363,9.173728e-07
50000,62.7384,-2.657780E+00,62.67092,1.094148e-06
50000,50.42808,-3.109869E+00,50.35382,1.163514e-06
50000,34.23718,-4.609292E+00,34.12645,1.156936e-06
50000,38.6601,-9.417489E+00,38.13905,5.031899e-07
50000,57.83395,-6.622684E+00,57.44803,4.772253e-07
50000,64.93682,-5.931030E+00,64.58921,4.743813e-07
50000,74.80402,-5.002960E+00,74.51903,4.879471e-07
50000,78.48379,-4.264208E+00,78.26653,5.454506e-07
50000,80.83701,-4.069210E+00,80.63322,5.549036e-07
50000,80.0323,-3.959522E+00,79.84127,5.75984e-07
50000,81.81108,-3.509852E+00,81.65762,6.355409e-07
50000,77.11454,-3.925445E+00,76.93363,6.029584e-07
50000,71.38502,-3.906680E+00,71.21914,6.544771e-07
50000,62.83652,-4.321287E+00,62.65789,6.722942e-07
50000,52.99441,-5.154833E+00,52.78008,6.685195e-07
50000,33.4989,-4.669922E+00,33.38769,1.167115e-06
50000,37.41334,-5.115056E+00,37.26435,9.542737e-07
50000,52.90357,-5.253763E+00,52.68132,6.570919e-07
50000,67.99808,-4.698855E+00,67.76954,5.714406e-07
50000,75.00879,-4.225817E+00,74.80487,5.758955e-07
50000,80.23964,-4.184865E+00,80.0257,5.436115e-07
50000,81.97422,-4.233048E+00,81.7506,5.260626e-07
50000,86.06914,-3.974075E+00,85.86218,5.336266e-07
50000,83.78035,-4.518012E+00,83.52001,4.82318e-07
50000,80.77669,-4.696616E+00,80.50546,4.812693e-07
50000,75.81339,-5.349196E+00,75.48322,4.5037e-07
50000,70.45982,-6.273003E+00,70.03795,4.134507e-07
50000,58.40442,-6.377885E+00,58.04295,4.906226e-07
50000,41.03507,-8.115081E+00,40.62417,5.495127e-07
50000,31.01405,-4.824764E+00,30.90415,1.220258e-06
50000,52.60585,-4.052720E+00,52.47431,8.561588e-07
50000,63.54978,-3.559356E+00,63.4272,8.068014e-07
50000,71.5992,-3.648840E+00,71.45406,6.985595e-07
50000,75.82437,-3.758750E+00,75.66126,6.403716e-07
50000,82.08184,-3.591640E+00,81.92062,6.190381e-07
50000,81.8445,-4.297981E+00,81.61434,5.189507e-07
50000,81.16625,-4.576628E+00,80.90746,4.914888e-07
50000,79.03603,-5.417929E+00,78.68294,4.26542e-07
50000,77.02853,-6.252736E+00,76.57029,3.794141e-07
50000,69.80342,-6.529532E+00,69.35063,4.010093e-07
50000,60.74489,-8.346973E+00,60.10143,3.609702e-07
50000,38.50557,-9.808339E+00,37.94274,4.852629e-07
50000,35.29482,-2.534738E+00,35.26029,2.03925e-06
50000,51.47742,-1.843368E+00,51.45079,1.922289e-06
50000,62.78732,-1.986803E+00,62.74957,1.462289e-06
50000,69.40254,-2.113356E+00,69.35533,1.243722e-06
50000,77.60299,-2.044556E+00,77.55358,1.149708e-06
50000,79.02428,-2.731953E+00,78.93446,8.450911e-07
50000,80.04184,-3.045969E+00,79.92876,7.484018e-07
50000,79.70634,-3.687416E+00,79.54133,6.209514e-07
50000,80.15976,-4.425609E+00,79.92075,5.146065e-07
