freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
20000,24.93841,-1.758792E+02,-25.00305,2.293031e-08
20000,9.130096,-1.646178E+02,-9.469305,2.31196e-07
20000,4.171923,-1.444497E+02,-5.127697,1.109026e-06
20000,2.327868,-1.084519E+02,-7.354846,3.242725e-06
20000,2.438857,-6.745935E+01,6.362145,3.01364e-06
20000,2.445923,-5.678866E+01,4.465573,2.722038e-06
20000,2.421128,-5.644130E+01,4.379825,2.738951e-06
20000,2.399455,-5.248583E+01,3.940266,2.630643e-06
20000,2.208828,-5.281152E+01,3.654343,2.870097e-06
20000,1.658407,-1.171765E+02,-3.631024,4.2687e-06
20000,3.652042,-1.594976E+02,-3.899015,7.631817e-07
20000,8.896638,-1.680052E+02,-9.095219,1.858908e-07
20000,20.40497,-1.781701E+02,-20.41538,1.245322e-08
20000,23.62504,-1.761804E+02,-23.67764,2.243862e-08
20000,7.907852,-1.622654E+02,-8.302401,3.065302e-07
20000,2.987066,-1.329058E+02,-4.387618,1.951362e-06
20000,2.15702,-7.593546E+01,8.876092,3.578638e-06
20000,2.217121,-6.122082E+01,4.605233,3.145891e-06
20000,2.190084,-5.602167E+01,3.918705,3.013106e-06
20000,2.397428,-4.784983E+01,3.572514,2.46088e-06
20000,2.336359,-4.400184E+01,3.248023,2.366117e-06
20000,1.355621,-8.170313E+01,9.394316,5.808748e-06
20000,2.285461,-1.323774E+02,-3.390839,2.572155e-06
20000,4.129656,-1.510977E+02,-4.717205,9.313398e-07
20000,6.336495,-1.701233E+02,-6.43182,2.154154e-07
20000,21.99492,+1.789339E+02,-21.99873,-6.731498e-09
20000,22.60717,-1.726893E+02,-22.79246,4.479189e-08
20000,6.758216,-1.545658E+02,-7.483525,5.057021e-07
20000,3.034258,-1.143809E+02,-7.350405,2.388749e-06
20000,2.610308,-8.913463E+01,172.8348,3.048238e-06
20000,2.507585,-7.402675E+01,9.112246,3.050943e-06
20000,2.740179,-6.052914E+01,5.569687,2.528325e-06
20000,2.890449,-5.426633E+01,4.949244,2.234817e-06
20000,2.486159,-8.715363E+01,50.06546,3.196871e-06
