freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
20000,8.329211,-1.739224E+02,-8.376291,1.011541e-07
20000,1.438478,-1.191331E+02,-2.954727,4.832206e-06
20000,1.255213,-6.889810E+01,3.486434,5.914625e-06
20000,1.516496,-5.096767E+01,2.408058,4.076177e-06
20000,1.707494,-4.340395E+01,2.350213,3.202393e-06
20000,1.838254,-3.957500E+01,2.384892,2.757935e-06
20000,1.818511,-3.784258E+01,2.302789,2.684632e-06
20000,1.921603,-3.665802E+01,2.395377,2.472453e-06
20000,1.994661,-3.309397E+01,2.3809,2.178334e-06
20000,1.560281,-4.028484E+01,2.04536,3.297728e-06
20000,1.093565,-6.510954E+01,2.598253,6.600962e-06
20000,2.454749,-1.466075E+02,-2.940102,1.784183e-06
20000,9.541525,-1.762145E+02,-9.562389,5.506306e-08
20000,10.48337,-1.797982E+02,-10.48344,2.673812e-09
20000,1.713359,-1.422006E+02,-2.168364,2.846625e-06
20000,1.033776,-6.903566E+01,2.889362,7.188185e-06
20000,1.370604,-4.552004E+01,1.956162,4.142566e-06
20000,1.547517,-3.910003E+01,1.994104,3.243107e-06
20000,1.580904,-3.529413E+01,1.936915,2.908323e-06
20000,1.70876,-3.382874E+01,2.056999,2.592627e-06
20000,1.806028,-2.828101E+01,2.050826,2.087648e-06
20000,1.465984,-3.013952E+01,1.695161,2.725571e-06
20000,1.29207,-4.869009E+01,1.957291,4.626269e-06
20000,1.148417,-7.736493E+01,5.250135,6.761512e-06
20000,0.9806535,-1.079520E+02,-3.181673,7.719675e-06
20000,8.203448,-1.786190E+02,-8.205832,2.337841e-08
20000,12.79013,-1.758560E+02,-12.82366,4.49608e-08
20000,2.733608,-1.501524E+02,-3.151669,1.448827e-06
20000,1.338842,-9.561087E+01,-13.69355,5.915278e-06
20000,1.456281,-6.809702E+01,3.903862,5.069991e-06
20000,1.569422,-5.291665E+01,2.602793,4.045034e-06
20000,1.803896,-4.467973E+01,2.536952,3.101862e-06
20000,1.995417,-3.544063E+01,2.449215,2.312485e-06
20000,1.745927,-4.676893E+01,2.549014,3.320868e-06
20000,1.566262,-5.340107E+01,2.627032,4.078951e-06
20000,1.449701,-5.732194E+01,2.685039,4.620384e-06
20000,1.538227,-5.697508E+01,2.822416,4.337488e-06
20000,1.196453,-1.025755E+02,-5.495245,6.491558e-06
