Point,X,Y
1,1.158625,0
2,1.089775045,0.216769734
3,1.003448657,0.415642043
4,0.941188957,0.628882355
5,0.812789782,0.812789782
6,0.586751612,0.878135844
7,0.37960602,0.916450001
8,0.194822073,0.979436701
9,0,1.061958333
10,-0.20522689,1.031745249
11,-0.423295712,1.021926248
12,-0.630271281,0.943267631
13,-0.813968294,0.813968294
14,-1.043736875,0.697402684
15,-1.17667607,0.487395187
16,-1.217277131,0.242131476
17,-1.232791667,0
18,-1.222998379,-0.243269503
19,-1.150499483,-0.476552489
20,-0.998698938,-0.667309296
21,-0.811611271,-0.811611271
22,-0.578418059,-0.8656638
23,-0.378330408,-0.913370403
24,-0.199211605,-1.00150437
25,0,-1.022791667
26,0.209941573,-1.05544756
27,0.410539597,-0.991130264
28,0.632586157,-0.946732087
29,0.822807128,-0.822807128
30,0.959204132,-0.64091971
31,1.051182433,-0.43541402
32,1.076697908,-0.21416853
