freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
20000,25.21434,-1.713233E+02,-25.50625,4.761192e-08
20000,7.040399,-1.521138E+02,-7.965349,5.286594e-07
20000,3.3214,-1.059337E+02,-12.0987,2.30385e-06
20000,3.013393,-1.008364E+02,-16.0282,2.593702e-06
20000,3.435698,-6.940666E+01,9.767922,2.168191e-06
20000,4.331803,-4.545838E+01,6.175699,1.309343e-06
20000,4.725272,-3.367987E+01,5.678396,9.339115e-07
20000,4.846236,-3.087936E+01,5.646649,8.427514e-07
20000,4.993884,-2.464460E+01,5.494355,6.644703e-07
20000,2.467683,-4.151225E+01,3.295455,2.137324e-06
20000,2.494623,-1.375172E+02,-3.382629,2.154398e-06
20000,4.66152,-1.505885E+02,-5.351207,8.383262e-07
20000,22.53322,-1.774448E+02,-22.55565,1.574441e-08
20000,23.62415,-1.708616E+02,-23.92785,5.3498e-08
20000,7.584511,-1.548179E+02,-8.381042,4.464347e-07
20000,4.466484,-1.336749E+02,-6.467861,1.288619e-06
20000,3.4953,-8.588905E+01,48.75708,2.270842e-06
20000,4.163329,-5.178866E+01,6.730638,1.501845e-06
20000,4.57989,-3.666896E+01,5.709879,1.037643e-06
20000,4.887304,-3.259067E+01,5.800677,8.770295e-07
20000,5.241975,-2.618001E+01,5.841211,6.697669e-07
20000,3.242767,-3.412422E+01,3.917221,1.376666e-06
20000,2.761513,-9.358104E+01,-44.21237,2.876036e-06
20000,2.675815,-8.901935E+01,156.3453,2.973517e-06
20000,5.832239,-1.644442E+02,-6.053999,3.659122e-07
20000,23.74416,-1.788756E+02,-23.74873,6.576734e-09
20000,27.17667,-1.751363E+02,-27.27489,2.482657e-08
20000,9.570285,-1.610887E+02,-10.11635,2.694937e-07
20000,3.91711,-1.200778E+02,-7.815838,1.75798e-06
20000,3.519008,-6.401813E+01,8.032673,2.032812e-06
20000,4.006907,-4.043149E+01,5.264059,1.288002e-06
20000,4.481062,-3.310842E+01,5.349638,9.700203e-07
20000,4.903032,-2.324734E+01,5.336288,6.406101e-07
20000,3.481174,-4.604985E+01,5.015868,1.645747e-06
20000,2.771006,-7.912852E+01,14.69199,2.820249e-06
20000,2.601748,-4.736675E+01,3.841335,2.250236e-06
20000,2.072943,-1.228722E+02,-3.819209,3.224198e-06
20000,6.602539,-1.675145E+02,-6.762466,2.605667e-07
20000,23.12301,+1.798622E+02,-23.12307,-8.274923e-10
20000,27.27641,-1.743464E+02,-27.40974,2.874101e-08
20000,7.333197,-1.504368E+02,-8.43078,5.35403e-07
20000,3.241457,-9.246904E+01,-75.24359,2.452711e-06
20000,3.411364,-4.979978E+01,5.285161,1.781714e-06
20000,4.031726,-3.583436E+01,4.973063,1.155539e-06
20000,4.640369,-3.627547E+01,5.755984,1.014649e-06
20000,3.446328,-4.914268E+01,5.268184,1.74643e-06
20000,2.42375,-6.190706E+01,5.147023,2.896423e-06
20000,3.222964,-4.119406E+01,4.283104,1.626163e-06
20000,2.084987,-6.799463E+01,5.564513,3.538639e-06
20000,2.296263,-1.252284E+02,-3.980776,2.830841e-06
20000,5.738421,-1.641993E+02,-5.963763,3.775997e-07
20000,22.05946,-1.778546E+02,-22.07494,1.350448e-08
20000,22.56148,-1.707360E+02,-22.85963,5.678094e-08
20000,5.73081,-1.380396E+02,-7.706771,9.284346e-07
20000,3.200862,-8.181617E+01,22.48592,2.460809e-06
20000,4.235239,-5.878587E+01,8.172384,1.606935e-06
20000,4.574063,-4.316358E+01,6.270962,1.190138e-06
20000,3.017067,-4.720938E+01,4.441298,1.935563e-06
20000,2.728579,-6.973861E+01,7.879155,2.735981e-06
20000,3.780823,-4.201642E+01,5.088912,1.408812e-06
20000,2.925662,-5.248217E+01,4.803977,2.157391e-06
20000,2.338193,-7.697169E+01,10.37204,3.315768e-06
20000,2.266749,-1.170189E+02,-4.989707,3.12748e-06
20000,6.608583,-1.638553E+02,-6.87991,3.348322e-07
20000,25.99602,+1.790117E+02,-25.99989,-5.27966e-09
20000,23.82663,-1.729965E+02,-24.00575,4.072301e-08
20000,7.23377,-1.493672E+02,-8.406954,5.605292e-07
20000,3.736911,-1.090435E+02,-11.45286,2.012953e-06
20000,2.44823,-6.770193E+01,6.452472,3.007351e-06
20000,2.275449,-1.075703E+02,-7.537703,3.334066e-06
20000,2.475195,-1.013700E+02,-12.55522,3.151902e-06
20000,2.97301,-5.277463E+01,4.914458,2.131325e-06
20000,2.51753,-6.579536E+01,6.140364,2.883047e-06
20000,2.221046,-7.831094E+01,10.9627,3.508579e-06
20000,2.060349,-9.093462E+01,-126.313,3.861816e-06
20000,3.037785,-1.409475E+02,-3.911804,1.650426e-06
20000,8.31096,-1.717704E+02,-8.397433,1.370562e-07
20000,25.90219,+1.794186E+02,-25.90353,-3.117287e-09
20000,25.62359,-1.711437E+02,-25.93276,4.781311e-08
20000,7.134097,-1.519553E+02,-8.08322,5.244414e-07
20000,3.397994,-1.219543E+02,-6.420492,1.98703e-06
20000,3.569461,-1.325535E+02,-5.278095,1.642278e-06
20000,2.90901,-1.057765E+02,-10.69942,2.632503e-06
20000,3.436229,-5.314974E+01,5.729667,1.853146e-06
20000,3.154617,-5.542796E+01,5.559365,2.077119e-06
20000,3.008616,-5.852581E+01,5.762369,2.255844e-06
20000,2.905852,-5.581152E+01,5.171317,2.26529e-06
20000,2.565991,-7.135771E+01,8.02728,2.938524e-06
20000,2.420351,-1.235158E+02,-4.383366,2.741189e-06
20000,5.977573,-1.618236E+02,-6.291517,4.152812e-07
20000,20.67726,-1.789252E+02,-20.6809,7.2188e-09
20000,23.26263,-1.707215E+02,-23.57102,5.515529e-08
20000,7.482415,-1.557414E+02,-8.2071,4.369563e-07
20000,5.47405,-1.479720E+02,-6.456857,7.709583e-07
20000,3.195039,-1.072503E+02,-10.77417,2.378624e-06
20000,3.883206,-4.925677E+01,5.949722,1.552615e-06
20000,3.749872,-4.807874E+01,5.612668,1.579006e-06
20000,3.810376,-4.600365E+01,5.485613,1.502391e-06
20000,4.073558,-4.041183E+01,5.350058,1.266418e-06
20000,3.854001,-4.258890E+01,5.234792,1.39732e-06
20000,2.868766,-5.307003E+01,4.774604,2.217396e-06
20000,2.17746,-8.540396E+01,27.17406,3.642849e-06
