freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
20000,8.555762,-1.740695E+02,-8.601799,9.61004e-08
20000,1.271231,-1.043306E+02,-5.13594,6.065089e-06
20000,1.577172,-5.830879E+01,3.002187,4.293241e-06
20000,1.660583,-5.777949E+01,3.114494,4.054162e-06
20000,2.099511,-4.710197E+01,3.08436,2.776637e-06
20000,2.312417,-4.341356E+01,3.183342,2.365073e-06
20000,2.47772,-3.471398E+01,3.014239,1.829012e-06
20000,2.245628,-3.560101E+01,2.761843,2.062898e-06
20000,2.294492,-3.033820E+01,2.658558,1.751796e-06
20000,1.620126,-4.176109E+01,2.171959,3.271391e-06
20000,1.168311,-1.060743E+02,-4.21949,6.545027e-06
20000,2.248926,-1.458426E+02,-2.71774,1.986734e-06
20000,12.21054,-1.766771E+02,-12.23111,3.777568e-08
20000,6.459882,-1.701791E+02,-6.555954,2.101193e-07
20000,1.45969,-1.034043E+02,-6.296648,5.303157e-06
20000,1.546268,-7.092569E+01,4.731626,4.863862e-06
20000,2.0428,-4.997926E+01,3.176663,2.983227e-06
20000,2.296702,-4.450708E+01,3.220441,2.428857e-06
20000,2.518257,-3.513042E+01,3.07914,1.818402e-06
20000,2.34852,-3.496948E+01,2.865945,1.942033e-06
20000,2.427348,-2.950040E+01,2.788926,1.614367e-06
20000,2.057264,-3.097912E+01,2.399547,1.991022e-06
20000,1.625739,-5.876097E+01,3.134802,4.185151e-06
20000,1.498489,-5.829389E+01,2.851211,4.517946e-06
20000,1.531526,-1.358542E+02,-2.134324,3.618918e-06
20000,10.99325,-1.767436E+02,-11.01103,4.111899e-08
20000,10.82693,-1.770194E+02,-10.84159,3.821765e-08
20000,2.037753,-1.402194E+02,-2.651595,2.498711e-06
20000,1.564631,-6.618668E+01,3.875171,4.653027e-06
20000,1.980783,-4.848905E+01,2.988674,3.008402e-06
20000,2.201974,-3.622036E+01,2.729436,2.135435e-06
20000,2.072057,-3.515308E+01,2.534265,2.211221e-06
20000,2.177609,-2.778113E+01,2.461313,1.703276e-06
20000,1.974515,-3.723516E+01,2.480052,2.438642e-06
20000,1.598484,-5.112218E+01,2.546729,3.875544e-06
20000,1.651747,-3.675593E+01,2.061613,2.882993e-06
20000,1.316675,-4.993250E+01,2.045512,4.625256e-06
20000,1.153215,-1.140367E+02,-2.831217,6.302113e-06
20000,8.26995,-1.767028E+02,-8.283663,5.534431e-08
20000,13.45402,-1.772298E+02,-13.46976,2.858578e-08
20000,2.458929,-1.406971E+02,-3.177698,2.049915e-06
20000,1.666637,-6.636411E+01,4.157,4.37419e-06
20000,2.012832,-3.924312E+01,2.598984,2.501038e-06
20000,1.962549,-3.388590E+01,2.364091,2.260717e-06
20000,2.136956,-3.515227E+01,2.613614,2.144024e-06
20000,1.926669,-3.738348E+01,2.424735,2.507707e-06
20000,1.534357,-4.140906E+01,2.045791,3.430425e-06
20000,1.739925,-3.486798E+01,2.12064,2.614678e-06
20000,1.581066,-3.965631E+01,2.053635,3.212062e-06
20000,1.467862,-4.684985E+01,2.146272,3.955197e-06
20000,1.06821,-9.908137E+01,-6.767808,7.356229e-06
20000,6.102106,-1.725996E+02,-6.153362,1.679714e-07
20000,15.23569,-1.770466E+02,-15.25595,2.691103e-08
20000,2.854371,-1.419004E+02,-3.627179,1.720229e-06
20000,1.740406,-6.057314E+01,3.542364,3.982442e-06
20000,2.071411,-5.074149E+01,3.273301,2.974625e-06
20000,2.267906,-3.989762E+01,2.956113,2.25064e-06
20000,2.003243,-3.404975E+01,2.417764,2.224215e-06
20000,1.703124,-4.711423E+01,2.50261,3.423555e-06
20000,1.943163,-3.814402E+01,2.470769,2.529394e-06
20000,1.849046,-4.063670E+01,2.436628,2.802833e-06
20000,1.833176,-4.350456E+01,2.527405,2.988371e-06
20000,1.506559,-5.476084E+01,2.611062,4.314133e-06
20000,1.266902,-1.001941E+02,-7.158311,6.182106e-06
20000,10.67337,-1.787137E+02,-10.67606,1.673629e-08
20000,18.79844,-1.766417E+02,-18.83078,2.479834e-08
20000,4.164689,-1.529680E+02,-4.675472,8.684218e-07
20000,1.711197,-9.591628E+01,-16.60144,4.625628e-06
20000,1.626336,-4.888419E+01,2.473203,3.686337e-06
20000,1.537033,-4.942797E+01,2.363199,3.932653e-06
20000,1.488285,-5.624921E+01,2.678787,4.445764e-06
20000,1.798538,-4.118030E+01,2.389635,2.913269e-06
20000,1.734408,-4.289940E+01,2.367631,3.123224e-06
20000,1.763477,-4.378464E+01,2.442672,3.122445e-06
20000,1.579716,-4.943112E+01,2.428981,3.826574e-06
20000,1.432105,-5.821394E+01,2.718762,4.723293e-06
20000,1.790261,-1.415790E+02,-2.285052,2.76229e-06
20000,13.14365,-1.789546E+02,-13.14584,1.104644e-08
20000,19.55585,-1.750199E+02,-19.62995,3.532464e-08
20000,4.26482,-1.568340E+02,-4.638855,7.3404e-07
20000,1.519023,-1.017204E+02,-7.477841,5.129502e-06
20000,1.493534,-7.037715E+01,4.447329,5.018693e-06
20000,1.727731,-5.794671E+01,3.255522,3.903749e-06
20000,2.121151,-3.988278E+01,2.764227,2.405609e-06
20000,2.140901,-4.032766E+01,2.80827,2.405491e-06
20000,2.223261,-4.033848E+01,2.91677,2.316896e-06
20000,2.065266,-4.300912E+01,2.824314,2.62828e-06
20000,2.013758,-4.341715E+01,2.772362,2.716016e-06
20000,1.528425,-6.333895E+01,3.406252,4.652929e-06
20000,2.320577,-1.429061E+02,-2.909272,2.068235e-06
20000,14.82605,-1.792155E+02,-14.82743,7.348448e-09
20000,19.36248,-1.765915E+02,-19.39679,2.443478e-08
20000,5.809349,-1.655746E+02,-5.998462,3.41247e-07
20000,2.239893,-1.409032E+02,-2.886156,2.24047e-06
20000,1.536721,-7.137610E+01,4.811959,4.907229e-06
20000,2.124058,-4.084242E+01,2.807703,2.450128e-06
20000,2.199971,-3.951593E+01,2.851743,2.301602e-06
20000,2.345248,-3.739874E+01,2.952122,2.060849e-06
20000,2.218481,-3.880335E+01,2.846756,2.247808e-06
20000,2.270779,-3.842487E+01,2.898532,2.177951e-06
20000,1.907869,-4.501114E+01,2.698658,2.949926e-06
20000,1.508881,-6.385615E+01,3.4244,4.734367e-06
20000,2.589528,-1.453396E+02,-3.148219,1.747676e-06
20000,18.54677,-1.787958E+02,-18.55087,9.017052e-09
20000,23.52042,-1.773569E+02,-23.54547,1.560194e-08
20000,8.664776,-1.705334E+02,-8.784406,1.510524e-07
20000,1.679007,-1.183009E+02,-3.541446,4.173034e-06
20000,1.926208,-4.366983E+01,2.66297,2.85267e-06
20000,2.225908,-3.676654E+01,2.77863,2.139871e-06
20000,2.517555,-3.298548E+01,3.001346,1.720879e-06
20000,2.437351,-3.321720E+01,2.913401,1.788568e-06
20000,2.517638,-3.236520E+01,2.980677,1.692019e-06
20000,2.192507,-3.623340E+01,2.718156,2.145322e-06
20000,1.930947,-4.095013E+01,2.556597,2.701017e-06
20000,1.672273,-5.757850E+01,3.119078,4.016896e-06
20000,4.096789,-1.549237E+02,-4.52312,8.232532e-07
20000,19.12143,-1.775524E+02,-19.13889,1.777307e-08
20000,24.32858,-1.767640E+02,-24.36744,1.846429e-08
20000,4.174709,-1.601190E+02,-4.439285,6.482288e-07
20000,1.295931,-7.463912E+01,4.892192,5.921201e-06
20000,1.734694,-4.656075E+01,2.52288,3.330933e-06
20000,2.214163,-3.465317E+01,2.691635,2.043586e-06
20000,2.234625,-3.334865E+01,2.675106,1.957657e-06
20000,2.359722,-3.147950E+01,2.766941,1.761006e-06
20000,2.048526,-3.440486E+01,2.482865,2.194954e-06
20000,1.903778,-3.533867E+01,2.333783,2.417733e-06
20000,2.045668,-4.868217E+01,3.098393,2.921654e-06
20000,1.639645,-9.709880E+01,-13.26781,4.816133e-06
20000,4.048553,-1.603761E+02,-4.298203,6.601281e-07
20000,18.9604,-1.789299E+02,-18.96371,7.838128e-09
20000,12.30327,-1.748575E+02,-12.353,5.797407e-08
20000,2.211117,-1.452173E+02,-2.692147,2.053092e-06
20000,1.272258,-8.039521E+01,7.62511,6.16714e-06
20000,2.044257,-3.795760E+01,2.592701,2.394335e-06
20000,2.266882,-3.255553E+01,2.68948,1.889025e-06
20000,2.420528,-2.989397E+01,2.792006,1.638533e-06
