point,X,Y
1,1.094458333,0
2,1.138814309,0.22652425
3,1.095528651,0.453782825
4,1.022811557,0.683420833
5,0.884443269,0.884443269
6,0.713977196,1.068542386
7,0.49447483,1.193767841
8,0.253706835,1.275470391
9,0,1.281458333
10,-0.245773162,1.235585123
11,-0.477636759,1.153117142
12,-0.692124767,1.035837914
13,-0.873600965,0.873600965
14,-0.987889833,0.660086883
15,-0.982199428,0.406840324
16,-0.966523028,0.192253384
17,-1.015791667,0
18,-1.012946864,-0.201487659
19,-1.044099357,-0.432480114
20,-0.991770025,-0.662679544
21,-0.868651218,-0.868651218
22,-0.668976007,-1.001193347
23,-0.460033321,-1.110618683
24,-0.230686177,-1.159737728
25,0,-1.132125
26,0.212997988,-1.070813196
27,0.396762994,-0.9578706
28,0.55638044,-0.832682172
29,0.685039157,-0.685039157
30,0.802194953,-0.536009531
31,0.907673146,-0.375970527
32,1.028639429,-0.204609104
