freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
20000,24.82981,-1.740946E+02,-24.96228,3.297417e-08
20000,13.1734,-1.667277E+02,-13.53491,1.38683e-07
20000,5.258057,-1.554704E+02,-5.779693,6.283245e-07
20000,2.587354,-9.688367E+01,-21.58758,3.053461e-06
20000,2.681803,-6.255750E+01,5.819149,2.633412e-06
20000,2.658211,-6.899810E+01,7.416905,2.794775e-06
20000,2.987938,-4.905802E+01,4.559689,2.011779e-06
20000,3.540524,-3.788610E+01,4.486032,1.380248e-06
20000,3.457969,-3.343554E+01,4.14373,1.268001e-06
20000,1.70459,-7.315168E+01,5.881161,4.468032e-06
20000,3.903563,-1.614294E+02,-4.117979,6.492356e-07
20000,6.231653,-1.616624E+02,-6.565032,4.017606e-07
20000,18.77669,-1.761469E+02,-18.81923,2.847943e-08
20000,32.05083,-1.735591E+02,-32.25442,2.785208e-08
20000,7.911367,-1.590903E+02,-8.469109,3.589887e-07
20000,2.944124,-1.010198E+02,-15.4023,2.653086e-06
20000,3.092995,-6.314684E+01,6.847372,2.295393e-06
20000,3.248555,-5.776722E+01,6.090731,2.07211e-06
20000,3.731365,-4.014084E+01,4.881033,1.374862e-06
20000,4.438292,-3.175246E+01,5.219495,9.43554e-07
20000,4.651595,-2.652342E+01,5.198754,7.639614e-07
20000,3.464549,-3.157616E+01,4.066636,1.202733e-06
20000,2.373566,-9.641831E+01,-21.23302,3.331641e-06
20000,2.499549,-9.911243E+01,-15.78275,3.143493e-06
20000,3.466369,-1.506220E+02,-3.977922,1.126201e-06
20000,19.25322,-1.791068E+02,-19.25556,6.443233e-09
20000,16.34239,-1.702931E+02,-16.57976,8.21019e-08
20000,4.230692,-1.343768E+02,-6.04926,1.344426e-06
20000,2.748737,-7.948049E+01,15.05577,2.846399e-06
20000,3.099601,-6.507579E+01,7.355152,2.328239e-06
20000,3.710456,-4.120899E+01,4.932073,1.412932e-06
20000,4.490455,-3.139421E+01,5.260586,9.231529e-07
20000,4.826715,-2.404885E+01,5.285506,6.718658e-07
20000,4.070356,-3.790616E+01,5.158762,1.201124e-06
20000,2.527227,-7.070353E+01,7.64769,2.971911e-06
20000,2.345214,-5.203504E+01,3.812243,2.675144e-06
20000,1.908475,-7.644583E+01,8.143188,4.053558e-06
20000,5.30321,-1.697549E+02,-5.389134,2.668866e-07
20000,23.55684,-1.797366E+02,-23.55709,1.552753e-09
20000,21.89739,-1.701386E+02,-22.22578,6.223962e-08
20000,7.62606,-1.534213E+02,-8.527206,4.668862e-07
20000,4.743179,-1.320197E+02,-7.08587,1.246407e-06
20000,3.11657,-7.556391E+01,12.50128,2.472748e-06
