freq [Hz],Z [Ohm],Phase,R [Ohm],X [Ohm]
20000,7.435631,-1.714213E+02,-7.519762,1.596413e-07
20000,1.819065,-1.225282E+02,-3.382956,3.688373e-06
20000,0.9830479,-7.871313E+01,5.022691,7.938413e-06
20000,1.559835,-5.467910E+01,2.697952,4.16258e-06
20000,1.890952,-4.173221E+01,2.533891,2.801274e-06
20000,1.891891,-4.558157E+01,2.703113,3.004297e-06
20000,1.818203,-4.263593E+01,2.471485,2.964509e-06
20000,1.838689,-4.384310E+01,2.549346,2.997908e-06
20000,1.905975,-3.830304E+01,2.428788,2.587849e-06
20000,1.59827,-5.094822E+01,2.536846,3.866557e-06
20000,1.38057,-1.283686E+02,-2.22415,4.519254e-06
20000,2.871744,-1.547244E+02,-3.175779,1.183164e-06
20000,11.79122,-1.776016E+02,-11.80156,2.824244e-08
20000,11.72753,-1.742192E+02,-11.78748,6.834593e-08
20000,1.088263,-1.156784E+02,-2.511461,6.590176e-06
20000,1.457121,-5.573177E+01,2.587825,4.513261e-06
20000,1.847828,-4.095081E+01,2.446571,2.822555e-06
20000,1.891424,-4.296700E+01,2.584808,2.867585e-06
20000,1.830282,-4.012141E+01,2.393525,2.80178e-06
20000,1.837355,-4.111402E+01,2.438743,2.847949e-06
20000,1.994355,-3.312697E+01,2.381429,2.180594e-06
20000,1.998459,-3.475384E+01,2.432373,2.269914e-06
20000,1.461243,-5.992319E+01,2.915719,4.712611e-06
20000,1.475499,-6.256914E+01,3.202886,4.78688e-06
20000,1.207706,-9.254485E+01,-27.1997,6.582644e-06
20000,7.338179,-1.744753E+02,-7.372426,1.044029e-07
20000,5.369091,-1.728007E+02,-5.411756,1.857433e-07
20000,1.21574,-9.022001E+01,-316.6109,6.545553e-06
20000,1.590743,-4.808863E+01,2.381423,3.722781e-06
20000,1.747406,-4.564879E+01,2.49967,3.256444e-06
20000,1.743241,-4.003465E+01,2.276796,2.936384e-06
20000,1.775845,-3.907989E+01,2.28767,2.824904e-06
20000,1.950847,-3.022686E+01,2.257823,2.053533e-06
20000,2.034739,-3.980731E+01,2.648703,2.503816e-06
20000,1.501012,-5.374521E+01,2.538164,4.275175e-06
20000,1.58255,-4.044678E+01,2.079542,3.262154e-06
20000,1.627061,-4.566018E+01,2.32799,3.497987e-06
20000,1.035813,-8.185224E+01,7.308538,7.605058e-06
20000,6.948943,-1.729724E+02,-7.001544,1.40109e-07
20000,8.095938,-1.724928E+02,-8.165933,1.284207e-07
20000,1.937047,-1.281707E+02,-3.134352,3.229746e-06
20000,1.652991,-7.358007E+01,5.847669,4.61781e-06
20000,1.852026,-5.012169E+01,2.888558,3.297383e-06
20000,1.942699,-4.720125E+01,2.859327,3.005589e-06
20000,2.151485,-4.515641E+01,3.051,2.622522e-06
20000,2.179998,-4.727259E+01,3.212915,2.681507e-06
20000,1.566144,-5.565946E+01,2.776307,4.195469e-06
20000,1.727237,-5.164450E+01,2.783448,3.612863e-06
20000,1.931238,-5.154905E+01,3.10566,3.226965e-06
20000,1.579197,-5.994298E+01,3.152961,4.361488e-06
20000,1.77387,-1.275429E+02,-2.911063,3.557014e-06
20000,11.91376,-1.759057E+02,-11.94424,4.769011e-08
20000,18.47486,+1.775138E+02,-18.49226,-1.868462e-08
20000,4.035984,-1.677399E+02,-4.130177,4.18689e-07
20000,0.8322112,-7.614397E+01,3.475033,9.283919e-06
20000,1.159975,-5.777201E+01,2.175132,5.803332e-06
20000,1.274088,-4.706427E+01,1.87042,4.57269e-06
20000,1.200983,-4.122817E+01,1.596858,4.366947e-06
20000,0.9412909,-5.800861E+01,1.776718,7.170138e-06
20000,1.103152,-5.015590E+01,1.72179,5.538569e-06
20000,1.261807,-4.434191E+01,1.764316,4.407947e-06
20000,1.127581,-4.229502E+01,1.524397,4.74924e-06
20000,0.8682794,-6.285995E+01,1.903424,8.155846e-06
20000,0.8324314,-1.096436E+02,-2.476235,9.003291e-06
20000,5.21764,-1.765018E+02,-5.22738,9.306155e-08
20000,16.85937,-1.783441E+02,-16.86642,1.363964e-08
20000,1.946848,-1.292523E+02,-3.076872,3.165229e-06
20000,1.514832,-6.930757E+01,4.287044,4.914338e-06
20000,1.551793,-4.538023E+01,2.209276,3.650097e-06
20000,1.627376,-4.843077E+01,2.452623,3.65842e-06
20000,1.319991,-5.899734E+01,2.562703,5.167405e-06
20000,1.497047,-4.962318E+01,2.31093,4.049448e-06
20000,1.807463,-4.437213E+01,2.528581,3.07889e-06
20000,1.748116,-3.994560E+01,2.280188,2.922775e-06
20000,1.495364,-4.821164E+01,2.244007,3.967854e-06
20000,1.41863,-5.111358E+01,2.259761,4.366359e-06
20000,1.032002,-8.748888E+01,23.55449,7.703578e-06
20000,7.600338,-1.755172E+02,-7.623659,8.183467e-08
20000,8.335326,-1.729112E+02,-8.399531,1.178173e-07
20000,1.431641,-1.003789E+02,-7.946604,5.467532e-06
20000,1.556006,-5.828287E+01,2.959727,4.350427e-06
20000,1.761463,-5.502876E+01,3.07322,3.701978e-06
20000,1.516153,-6.045324E+01,3.074526,4.566077e-06
20000,1.846233,-4.723288E+01,2.718967,3.164247e-06
20000,2.173884,-4.204049E+01,2.927113,2.45135e-06
20000,2.175914,-3.634850E+01,2.701567,2.167603e-06
