point,X,Y
1,0.67691545015522,-0.12088957666906
2,0.91217142297852,-0.0615282085822
3,1.1522362132604,-0.00986579079339
4,1.40453972517195,0
5,1.66587588100372,-0.02837955739621
6,1.90532463644962,-0.1413389354934
7,2.11559959367909,-0.30505202901637
8,2.26259608943571,-0.52649665977201
9,2.30260778027413,-0.79191590460957
10,2.26291382014908,-1.04748789725325
11,2.24951607156084,-1.26841540943506
12,2.2592200340317,-1.48860818187564
13,2.2135734176436,-1.70803567374173
14,2.11140651289697,-1.90931251377891
15,1.97630690145511,-2.09248609762977
16,1.79320151376965,-2.2276877718459
17,1.58579677946554,-2.31512320847775
18,1.37787471047965,-2.40277673744944
19,1.15223621326038,-2.48712948286846
20,0.89694998906212,-2.54
21,0.63380836637938,-2.52001094848705
22,0.37098952554907,-2.43763370432713
23,0.16539541733294,-2.25525620536251
24,0.03741591754922,-2.01331451614814
25,0,-1.74568727602496
26,0.01304805742356,-1.49501402240341
27,0.05782232943337,-1.26841540943506
28,0.05366853823795,-1.04989671246957
29,0.05662155134109,-0.81130728036779
30,0.11158918771133,-0.57307729734895
31,0.24918043664892,-0.36535963282362
32,0.45279708252242,-0.22163077573888
