point,X,Y
1,0.973625,0
2,0.953282427,0.189619664
3,1.004218557,0.415960946
4,0.979990872,0.654808966
5,0.851680655,0.851680655
6,0.670550123,1.003549178
7,0.458693929,1.107385105
8,0.221484417,1.113477356
9,0,1.111125
10,-0.218395487,1.097948255
11,-0.418512169,1.010377754
12,-0.615456074,0.921095108
13,-0.773898909,0.773898909
14,-0.891993671,0.596011116
15,-0.89951221,0.372590157
16,-0.913233694,0.181653476
17,-0.937791667,0
18,-0.966359564,-0.192220869
19,-0.980351669,-0.406074957
20,-0.959204132,-0.64091971
21,-0.838127775,-0.838127775
22,-0.661290619,-0.989691351
23,-0.43764634,-1.05657173
24,-0.212542777,-1.068524697
25,0,-1.018625
26,0.193033745,-0.970446169
27,0.382476146,-0.923379098
28,0.546009795,-0.817161406
29,0.701420464,-0.701420464
30,0.837948146,-0.559899051
31,0.913370403,-0.378330408
32,0.954099748,-0.18978224
